consumption,price,unspecified,hydro,wind_onshore,thermal,solar,export/import
"-1,743","510,32",0.01,3961,1995,146,0.001,4358.17
"-1,698","513,19",0.02,3500,1987,147,0.006,3935.79
"-1,678","493,64",0.01,3079,1933,144,0.002,3477.00
"-1,669","484,37",0.02,3006,1900,146,0.002,3383.53
"-1,668","484,17",0.01,2976,1754,150,0.007,3212.15
"-1,678","488,08",0.01,3079,1747,151,0.001,3299.21
"-1,714","499,91",0.01,3334,1746,150,0.000,3516.53
"-1,818","523,48",0.00,4380,1654,158,0.002,4373.66
"-1,903","534,69",0.00,5450,1495,164,0.006,5207.42
"-1,942","541,38",0.00,5618,1308,160,0.005,5143.37
"-1,965","547,35",0.00,5685,1263,155,0.001,5138.08
"-1,979","550,85",0.00,5775,1243,179,0.006,5217.56
"-1,951","545,5",0.01,5738,1222,193,0.022,5201.32
"-1,942","532,43",0.00,5638,1106,171,0.034,4973.78
"-1,923","530,99",0.00,5492,1018,180,0.027,4766.93
"-1,904","529,03",0.00,5366,957,175,0.005,4593.54
"-1,913","531,92",0.00,5419,997,172,0.001,4675.04
"-1,942","541,18",0.00,5421,976,170,0.000,4624.98
"-1,941","548,9",0.00,5411,851,161,0.001,4482.34
"-1,89","543,44",0.00,5269,775,165,0.001,4318.50
"-1,85","532,94",0.01,5012,739,162,0.000,4063.53
"-1,81","525,23",0.01,4552,661,158,0.001,3561.37
"-1,767","519,16",0.00,4104,532,150,0.000,3018.67
"-1,713","512,36",0.01,3573,470,143,0.003,2472.99
"-1,68","504,44",0.02,3037,401,141,0.004,1898.56
"-1,654","496,28",0.00,2485,342,135,0.000,1307.93
"-1,637","487,05",0.01,2355,295,130,0.000,1143.12
"-1,633","483,67",0.02,2349,245,138,0.002,1099.53
"-1,642","481,72",0.04,2318,181,134,0.002,991.07
"-1,645","481,82",0.07,2450,153,135,0.000,1093.44
"-1,654","485,1",0.01,2653,137,145,0.001,1281.35
"-1,697","487,77",0.07,3376,131,140,0.001,1950.12
"-1,726","494,23",0.07,3800,141,154,0.000,2369.52
"-1,777","512,37",0.06,4197,164,155,0.004,2739.42
"-1,816","519,95",0.02,4527,159,155,0.012,3025.79
"-1,855",522,0.04,5072,195,160,0.030,3572.44
"-1,859","522,92",0.06,5360,235,158,0.039,3894.65
"-1,854","526,41",0.07,5459,321,158,0.036,4084.03
"-1,847","530,3",0.01,5437,428,159,0.025,4177.49
"-1,871","532,15",0.01,5445,521,164,0.010,4259.89
"-1,925","545,47",0.04,5588,629,168,0.005,4460.93
"-1,956","566,38",0.00,5876,687,167,0.002,4774.08
"-1,961","572,63",0.00,6001,682,167,0.005,4888.58
"-1,916","566,38",0.00,5904,654,171,0.008,4813.16
"-1,874","551,42",0.02,5852,611,165,0.005,4754.29
"-1,834","540,66",0.01,5428,544,153,0.000,4291.16
"-1,799","531,94",0.00,5003,592,151,0.001,3947.22
"-1,766","524,05",0.01,4384,647,153,0.000,3417.38
"-1,727","514,62",0.03,3624,686,148,0.000,2730.24
"-1,693","513,76",0.00,3245,710,155,0.001,2416.76
"-1,672","500,89",0.01,2991,728,154,0.000,2200.50
"-1,665","498,64",0.00,3013,836,151,0.000,2336.04
"-1,662","497,11",0.05,2941,929,150,0.000,2357.69
"-1,668","488,52",0.02,3002,1018,158,0.000,2509.30
"-1,683","497,72",0.00,3104,1096,167,0.000,2683.48
"-1,714","504,46",0.01,3442,1239,174,0.000,3140.27
"-1,743","507,22",0.07,3831,1242,177,0.000,3505.94
"-1,79","515,29",0.02,4290,1226,183,0.000,3909.08
"-1,816","527,96",0.00,4762,1305,159,0.003,4410.24
"-1,851","534,8",0.02,5258,1459,146,0.015,5012.55
"-1,88","539,09",0.03,5327,1502,145,0.031,5093.57
"-1,883","540,01",0.00,5113,1498,142,0.055,4870.38
"-1,873","535,72",0.00,5094,1362,139,0.032,4722.69
"-1,868","526,32",0.00,5171,1456,137,0.005,4896.42
"-1,904","526,83",0.00,5249,1459,137,0.000,4940.93
"-1,938","544,3",0.00,5226,1472,137,0.001,4897.86
"-1,924","545,63",0.00,5012,1455,138,0.006,4681.02
"-1,891","542,36",0.00,5139,1567,139,0.009,4954.27
"-1,845","537,56",0.00,5102,1733,138,0.014,5128.37
"-1,796","530,72",0.00,5110,1715,138,0.010,5166.50
"-1,764","526,83",0.01,4781,1793,137,0.005,4946.77
"-1,721","518,05",0.00,4420,1811,129,0.008,4638.98
"-1,673","510,18",0.00,3761,1762,126,0.007,3976.09
"-1,637","496,7",0.00,2991,1707,121,0.002,3181.45
"-1,626","490,16",0.00,2859,1617,119,0.004,2969.63
"-1,625","488,73",0.00,2754,1509,121,0.004,2759.84
"-1,637","479,74",0.00,2693,1462,127,0.000,2644.86
"-1,675","491,28",0.01,2900,1343,134,0.000,2701.78
"-1,738","509,47",0.00,3470,1179,139,0.000,3050.20
"-1,857","538,79",0.01,4595,1093,148,0.000,3979.59
"-1,978","540,93",0.00,5461,1183,155,0.000,4820.46
"-2,011","545,94",0.00,5428,1121,156,0.000,4693.87
"-2,012","546,04",0.00,5473,1054,154,0.003,4669.96
"-2,029","546,45",0.00,5443,982,153,0.018,4548.65
"-2,035","547,78",0.00,5505,1023,150,0.045,4643.39
"-2,033","548,29",0.00,5774,909,148,0.064,4798.18
"-1,976","550,23",0.00,5797,826,149,0.023,4796.07
"-2,087","548,9",0.00,5800,774,154,0.004,4641.46
"-2,153",544,0.00,5994,718,157,0.000,4717.06
"-2,144","544,1",0.00,6034,661,158,0.000,4708.39
"-2,11","541,44",0.00,6037,472,158,0.004,4557.79
"-2,048","524,28",0.00,5791,366,156,0.002,4264.26
